Wavelength (um),Rel. global irradiance
0.28,4.73E-20
0.2805,1.23E-18
0.281,5.69E-18
0.2815,1.57E-16
0.282,1.19E-15
0.2825,4.54E-15
0.283,1.85E-14
0.2835,3.54E-14
0.284,7.27E-13
0.2845,2.49E-12
0.285,8.01E-12
0.2855,4.26E-11
0.286,1.37E-10
0.2865,8.38E-10
0.287,2.74E-09
0.2875,1.09E-08
0.288,6.23E-08
0.2885,1.72E-07
0.289,5.63E-07
0.2895,2.07E-06
0.29,6.02E-06
0.2905,1.38E-05
0.291,3.51E-05
0.2915,1.09E-04
0.292,2.68E-04
0.2925,4.27E-04
0.293,8.65E-04
0.2935,2.27E-03
0.294,4.17E-03
0.2945,6.59E-03
0.295,1.23E-02
0.2955,2.78E-02
0.296,4.79E-02
0.2965,7.13E-02
0.297,9.68E-02
0.2975,1.86E-01
0.298,2.90E-01
0.2985,3.58E-01
0.299,4.92E-01
0.2995,8.61E-01
0.3,1.02E+00
0.3005,1.25E+00
0.301,1.93E+00
0.3015,2.69E+00
0.302,2.92E+00
0.3025,4.28E+00
0.303,7.09E+00
0.3035,8.98E+00
0.304,9.47E+00
0.3045,1.20E+01
0.305,1.65E+01
0.3055,1.87E+01
0.306,1.86E+01
0.3065,2.11E+01
0.307,2.78E+01
0.3075,3.56E+01
0.308,3.78E+01
0.3085,4.14E+01
0.309,4.05E+01
0.3095,4.33E+01
0.31,5.09E+01
0.3105,6.55E+01
0.311,8.29E+01
0.3115,8.41E+01
0.312,9.34E+01
0.3125,9.90E+01
0.313,1.07E+02
0.3135,1.08E+02
0.314,1.20E+02
0.3145,1.31E+02
0.315,1.36E+02
0.3155,1.18E+02
0.316,1.23E+02
0.3165,1.50E+02
0.317,1.72E+02
0.3175,1.82E+02
0.318,1.76E+02
0.3185,1.86E+02
0.319,2.05E+02
0.3195,1.96E+02
0.32,2.05E+02
0.3205,2.45E+02
0.321,2.50E+02
0.3215,2.38E+02
0.322,2.22E+02
0.3225,2.17E+02
0.323,2.12E+02
0.3235,2.49E+02
0.324,2.75E+02
0.3245,2.83E+02
0.325,2.79E+02
0.3255,3.24E+02
0.326,3.81E+02
0.3265,4.07E+02
0.327,3.98E+02
0.3275,3.85E+02
0.328,3.51E+02
0.3285,3.72E+02
0.329,4.22E+02
0.3295,4.69E+02
0.33,4.71E+02
0.3305,4.28E+02
0.331,4.03E+02
0.3315,4.18E+02
0.332,4.36E+02
0.3325,4.39E+02
0.333,4.29E+02
0.3335,4.07E+02
0.334,4.15E+02
0.3345,4.45E+02
0.335,4.64E+02
0.3355,4.53E+02
0.336,4.15E+02
0.3365,3.82E+02
0.337,3.74E+02
0.3375,4.01E+02
0.338,4.34E+02
0.3385,4.55E+02
0.339,4.64E+02
0.3395,4.74E+02
0.34,5.02E+02
0.3405,5.01E+02
0.341,4.71E+02
0.3415,4.69E+02
0.342,4.89E+02
0.3425,5.08E+02
0.343,5.15E+02
0.3435,4.86E+02
0.344,4.18E+02
0.3445,4.03E+02
0.345,4.59E+02
0.3455,4.89E+02
0.346,4.78E+02
0.3465,4.87E+02
0.347,4.94E+02
0.3475,4.77E+02
0.348,4.75E+02
0.3485,4.83E+02
0.349,4.66E+02
0.3495,4.78E+02
0.35,5.28E+02
0.3505,5.67E+02
0.351,5.52E+02
0.3515,5.30E+02
0.352,5.18E+02
0.3525,4.90E+02
0.353,5.20E+02
0.3535,5.72E+02
0.354,6.05E+02
0.3545,6.12E+02
0.355,6.11E+02
0.3555,5.90E+02
0.356,5.54E+02
0.3565,5.19E+02
