wl,n,wl,k
0.23,1.000308003,0.23,0
0.2446,1.000303036,0.2446,0
0.2592,1.00029911,0.2592,0
0.2738,1.000295938,0.2738,0
0.2884,1.000293329,0.2884,0
0.303,1.000291152,0.303,0
0.3176,1.000289313,0.3176,0
0.3322,1.000287743,0.3322,0
0.3468,1.000286391,0.3468,0
0.3614,1.000285217,0.3614,0
0.376,1.000284191,0.376,0
0.3906,1.000283287,0.3906,0
0.4052,1.000282488,0.4052,0
0.4198,1.000281777,0.4198,0
0.4344,1.000281141,0.4344,0
0.449,1.00028057,0.449,0
0.4636,1.000280056,0.4636,0
0.4782,1.00027959,0.4782,0
0.4928,1.000279168,0.4928,0
0.5074,1.000278783,0.5074,0
0.522,1.000278432,0.522,0
0.5366,1.00027811,0.5366,0
0.5512,1.000277814,0.5512,0
0.5658,1.000277542,0.5658,0
0.5804,1.000277291,0.5804,0
0.595,1.000277059,0.595,0
0.6096,1.000276844,0.6096,0
0.6242,1.000276644,0.6242,0
0.6388,1.000276458,0.6388,0
0.6534,1.000276285,0.6534,0
0.668,1.000276123,0.668,0
0.6826,1.000275972,0.6826,0
0.6972,1.000275831,0.6972,0
0.7118,1.000275698,0.7118,0
0.7264,1.000275573,0.7264,0
0.741,1.000275456,0.741,0
0.7556,1.000275346,0.7556,0
0.7702,1.000275242,0.7702,0
0.7848,1.000275144,0.7848,0
0.7994,1.000275051,0.7994,0
0.814,1.000274964,0.814,0
0.8286,1.000274881,0.8286,0
0.8432,1.000274802,0.8432,0
0.8578,1.000274728,0.8578,0
0.8724,1.000274657,0.8724,0
0.887,1.00027459,0.887,0
0.9016,1.000274526,0.9016,0
0.9162,1.000274465,0.9162,0
0.9308,1.000274407,0.9308,0
0.9454,1.000274352,0.9454,0
0.96,1.000274299,0.96,0
0.9746,1.000274249,0.9746,0
0.9892,1.0002742,0.9892,0
1.004,1.000274154,1.004,0
1.018,1.000274111,1.018,0
1.033,1.000274068,1.033,0
1.048,1.000274027,1.048,0
1.062,1.00027399,1.062,0
1.077,1.000273951,1.077,0
1.091,1.000273917,1.091,0
1.106,1.000273882,1.106,0
1.121,1.000273848,1.121,0
1.135,1.000273818,1.135,0
1.15,1.000273787,1.15,0
1.164,1.000273759,1.164,0
1.179,1.00027373,1.179,0
1.194,1.000273702,1.194,0
1.208,1.000273677,1.208,0
1.223,1.000273651,1.223,0
1.237,1.000273627,1.237,0
1.252,1.000273603,1.252,0
1.267,1.00027358,1.267,0
1.281,1.000273559,1.281,0
1.296,1.000273537,1.296,0
1.31,1.000273518,1.31,0
1.325,1.000273497,1.325,0
1.34,1.000273478,1.34,0
1.354,1.00027346,1.354,0
1.369,1.000273442,1.369,0
1.383,1.000273425,1.383,0
1.398,1.000273408,1.398,0
1.413,1.000273391,1.413,0
1.427,1.000273376,1.427,0
1.442,1.00027336,1.442,0
1.456,1.000273346,1.456,0
