wl,n,wl,k
0.402816656,1.538873457,0.400613363,0.037232184
0.408271446,1.540802469,0.404289339,0.036222893
0.414718017,1.542180335,0.415317268,0.032644499
0.421164588,1.542455908,0.42319436,0.030167149
0.430586499,1.541812904,0.430546313,0.028607336
0.446454981,1.54034318,0.439473684,0.027414538
0.459348123,1.539378674,0.453127311,0.02622174
0.476208385,1.538460097,0.466255798,0.025395957
0.485878241,1.537771164,0.480434563,0.024019651
0.521334381,1.533913139,0.498289306,0.02200107
0.533235742,1.531341123,0.512468072,0.020441257
0.550591894,1.528034245,0.519820024,0.019707227
0.559543934,1.526309361,0.531898232,0.018881444
0.575327472,1.523385648,0.545026719,0.018147414
0.593263311,1.520151845,0.557061165,0.017981748
0.610960005,1.517361028,0.571648373,0.017981748
0.632004722,1.514171524,0.58550622,0.018300337
0.658071474,1.510716227,0.60301087,0.018937515
0.679116191,1.508324099,0.632185285,0.020403026
0.700160908,1.506153464,0.662453741,0.022378279
0.724314504,1.503717037,0.671206066,0.023015458
0.750381256,1.501147714,0.682511152,0.023652636
0.780154748,1.498157553,0.701839202,0.024799557
0.805384494,1.495610379,0.71679109,0.025564172
0.830972957,1.492863862,0.740130622,0.026583657
0.851539385,1.490693226,0.771128438,0.027666861
0.868518646,1.488522591,0.807231777,0.028686346
0.896259409,1.485022996,0.833488751,0.029387243
,,0.863392527,0.030215575
,,0.893660983,0.031171342
