wl,n,wl,k,,,
0.19124841,1.64542,0.19124841,0,,,
0.1928362,1.64179,0.1928362,0,,,
0.19442403,1.63827,0.19442403,0,,,
0.1960119,1.63484,0.1960119,0,,,
0.19759982,1.63152,0.19759982,0,,,
0.19918782,1.62829,0.19918782,0,,,
0.20077585,1.62515,0.20077585,0,,,
0.20236392,1.62211,0.20236392,0,,,
0.20395206,1.61918,0.20395206,0,,,
0.20554024,1.61635,0.20554024,0,,,
0.20712845,1.61365,0.20712845,0,,,
0.20871672,1.61107,0.20871672,0,,,
0.21030502,1.6086,0.21030502,0,,,
0.2118934,1.60625,0.2118934,0,,,
0.21348181,1.604,0.21348181,0,,,
0.21507027,1.60186,0.21507027,0,,,
0.21665877,1.5998,0.21665877,0,,,
0.21824731,1.59781,0.21824731,0,,,
0.21983589,1.59587,0.21983589,0,,,
0.22142453,1.594,0.22142453,0,,,
0.22301321,1.59217,0.22301321,0,,,
0.22460193,1.59041,0.22460193,0,,,
0.22619067,1.5887,0.22619067,0,,,
0.2277795,1.58705,0.2277795,0,,,
0.22936833,1.58545,0.22936833,0,,,
0.23095723,1.5839,0.23095723,0,,,
0.23254614,1.5824,0.23254614,2.37E-04,,,
0.2341351,1.58094,0.2341351,2.24E-04,,,
0.23572412,1.57952,0.23572412,2.10E-04,,,
0.23731316,1.57815,0.23731316,1.95E-04,,,
0.23890225,1.5768,0.23890225,1.80E-04,,,
0.24049138,1.5755,0.24049138,1.66E-04,,,
0.24208054,1.57423,0.24208054,1.52E-04,,,
0.24366975,1.57299,0.24366975,1.39E-04,,,
0.24525899,1.57178,0.24525899,1.26E-04,,,
0.24684827,1.5706,0.24684827,1.15E-04,,,
0.24843758,1.56945,0.24843758,1.05E-04,,,
0.25002693,1.56833,0.25002693,9.60E-05,,,
0.2516163,1.56724,0.2516163,8.90E-05,,,
0.25320573,1.56618,0.25320573,8.20E-05,,,
0.2547952,1.56514,0.2547952,7.60E-05,,,
0.25638467,1.56412,0.25638467,7.10E-05,,,
0.25797418,1.56313,0.25797418,6.60E-05,,,
0.25956375,1.56217,0.25956375,6.20E-05,,,
0.26115335,1.56122,0.26115335,5.80E-05,,,
0.26274298,1.5603,0.26274298,5.50E-05,,,
0.26433261,1.5594,0.26433261,5.20E-05,,,
0.2659223,1.55852,0.2659223,5.00E-05,,,
0.26751202,1.55766,0.26751202,4.80E-05,,,
0.26910178,1.55682,0.26910178,4.50E-05,,,
0.27069156,1.556,0.27069156,4.30E-05,,,
0.27228137,1.55519,0.27228137,4.10E-05,,,
0.27387122,1.55441,0.27387122,4.00E-05,,,
0.27546109,1.55364,0.27546109,3.80E-05,,,
0.27705096,1.55288,0.27705096,3.60E-05,,,
0.27864093,1.55215,0.27864093,3.50E-05,,,
0.28023086,1.55142,0.28023086,3.30E-05,,,
0.28182086,1.55072,0.28182086,3.10E-05,,,
0.28341086,1.55002,0.28341086,3.00E-05,,,
0.28500092,1.54934,0.28500092,2.80E-05,,,
0.28659097,1.54868,0.28659097,2.70E-05,,,
0.28818106,1.54803,0.28818106,2.60E-05,,,
0.28977118,1.54739,0.28977118,2.40E-05,,,
0.2913613,1.54676,0.2913613,2.30E-05,,,
0.29295148,1.54615,0.29295148,2.20E-05,,,
0.29454169,1.54554,0.29454169,2.10E-05,,,
0.2961319,1.54495,0.2961319,2.00E-05,,,
0.29772211,1.54437,0.29772211,1.90E-05,,,
0.29931238,1.5438,0.29931238,1.70E-05,,,
0.30090265,1.54324,0.30090265,1.60E-05,,,
0.30249298,1.5427,0.30249298,1.60E-05,,,
0.30408331,1.54216,0.30408331,1.50E-05,,,
0.30567365,1.54163,0.30567365,1.40E-05,,,
0.30726401,1.54111,0.30726401,1.30E-05,,,
0.30885443,1.5406,0.30885443,1.20E-05,,,
0.31044482,1.5401,0.31044482,1.10E-05,,,
0.31203525,1.53961,0.31203525,1.10E-05,,,
0.3136257,1.53912,0.3136257,1.00E-05,,,
0.31521616,1.53865,0.31521616,9.00E-06,,,
0.31680667,1.53818,0.31680667,9.00E-06,,,
0.31839716,1.53773,0.31839716,8.00E-06,,,
0.3199877,1.53728,0.3199877,8.00E-06,,,
0.32157822,1.53683,0.32157822,7.00E-06,,,
0.32316876,1.5364,0.32316876,7.00E-06,,,
0.32475934,1.53597,0.32475934,6.00E-06,,,
0.32634994,1.53555,0.32634994,6.00E-06,,,
0.32794055,1.53514,0.32794055,6.00E-06,,,
0.32953119,1.53473,0.32953119,5.00E-06,,,
0.3311218,1.53433,0.3311218,5.00E-06,,,
0.33271246,1.53394,0.33271246,4.00E-06,,,
0.3343031,1.53355,0.3343031,4.00E-06,,,
0.33589377,1.53317,0.33589377,4.00E-06,,,
0.33748447,1.53279,0.33748447,4.00E-06,,,
0.33907517,1.53242,0.33907517,3.00E-06,,,
0.34066589,1.53206,0.34066589,3.00E-06,,,
0.34225662,1.5317,0.34225662,3.00E-06,,,
0.34384735,1.53135,0.34384735,3.00E-06,,,
0.34543808,1.531,0.34543808,3.00E-06,,,
0.34702887,1.53066,0.34702887,2.00E-06,,,
0.3486196,1.53032,0.3486196,2.00E-06,,,
0.35021039,1.52999,0.35021039,2.00E-06,,,
0.35180118,1.52967,0.35180118,2.00E-06,,,
0.35339197,1.52935,0.35339197,2.00E-06,,,
0.35498276,1.52903,0.35498276,2.00E-06,,,
0.35657358,1.52872,0.35657358,2.00E-06,,,
0.3581644,1.52841,0.3581644,1.00E-06,,,
0.35975522,1.52811,0.35975522,1.00E-06,,,
0.36134604,1.52781,0.36134604,1.00E-06,,,
0.36293689,1.52752,0.36293689,1.00E-06,,,
0.36452774,1.52723,0.36452774,1.00E-06,,,
0.36611859,1.52694,0.36611859,1.00E-06,,,
0.36770941,1.52666,0.36770941,1.00E-06,,,
