wl,n,wl,k
0.3,2.52,0.3,0.34
0.325,2.42,0.325,0.15
0.35,2.29,0.35,0.04
0.375,2.19,0.375,0.01
0.4,2.12,0.4,0
0.425,2.07,0.425,0
0.45,2.04,0.45,0
0.475,2.02,0.475,0
0.5,2,0.5,0
0.55,1.97,0.55,0
0.6,1.95,0.6,0
0.65,1.94,0.65,0
0.7,1.93,0.7,0
0.75,1.92,0.75,0
0.8,1.91,0.8,0
0.85,1.91,0.85,0
0.9,1.9,0.9,0
0.95,1.9,0.95,0
1,1.9,1,0
1.05,1.9,1.05,0
1.1,1.89,1.1,0
1.15,1.89,1.15,0
1.2,1.89,1.2,0
1.25,1.89,1.25,0
1.3,1.89,1.3,0
1.35,1.89,1.35,0
1.4,1.88,1.4,0
1.45,1.88,1.45,0
1.5,1.88,1.5,0
1.55,1.88,1.55,0
1.6,1.88,1.6,0
1.65,1.88,1.65,0
1.7,1.88,1.7,0
1.75,1.88,1.75,0
1.8,1.88,1.8,0
1.85,1.88,1.85,0
1.9,1.88,1.9,0
1.95,1.88,1.95,0
2,1.88,2,0
2.1,1.88,2.1,0
2.2,1.88,2.2,0
2.3,1.88,2.3,0
2.4,1.88,2.4,0
2.5,1.88,2.5,0
