wl,n,wl,k
0.3,1.89,0.3,1.26
0.31,1.92,0.31,1.33
0.32,1.97,0.32,1.4
0.33,2.04,0.33,1.45
0.34,2.13,0.34,1.48
0.35,2.22,0.35,1.5
0.36,2.31,0.36,1.5
0.37,2.4,0.37,1.49
0.38,2.48,0.38,1.46
0.39,2.56,0.39,1.42
0.4,2.63,0.4,1.38
0.41,2.68,0.41,1.33
0.42,2.73,0.42,1.27
0.43,2.77,0.43,1.22
0.44,2.8,0.44,1.17
0.45,2.81,0.45,1.12
0.46,2.83,0.46,1.08
0.47,2.84,0.47,1.05
0.48,2.86,0.48,1.02
0.49,2.88,0.49,0.99
0.5,2.91,0.5,0.96
0.51,2.94,0.51,0.92
0.52,2.97,0.52,0.87
0.53,2.98,0.53,0.81
0.54,2.99,0.54,0.75
0.55,2.98,0.55,0.7
0.56,2.96,0.56,0.65
0.57,2.93,0.57,0.6
0.58,2.91,0.58,0.57
0.59,2.88,0.59,0.55
0.6,2.85,0.6,0.53
0.61,2.83,0.61,0.52
0.62,2.8,0.62,0.51
0.63,2.78,0.63,0.5
0.64,2.76,0.64,0.5
0.65,2.75,0.65,0.5
0.66,2.74,0.66,0.5
0.67,2.73,0.67,0.51
0.68,2.72,0.68,0.51
0.69,2.71,0.69,0.51
0.7,2.7,0.7,0.52
0.71,2.7,0.71,0.52
0.72,2.7,0.72,0.53
0.73,2.7,0.73,0.53
0.74,2.69,0.74,0.54
0.75,2.69,0.75,0.54
0.76,2.7,0.76,0.54
0.77,2.7,0.77,0.55
0.78,2.7,0.78,0.55
0.79,2.7,0.79,0.56
0.8,2.71,0.8,0.56
0.81,2.71,0.81,0.57
0.82,2.72,0.82,0.57
0.83,2.72,0.83,0.57
0.84,2.73,0.84,0.57
0.85,2.74,0.85,0.58
0.86,2.75,0.86,0.58
0.87,2.75,0.87,0.58
0.88,2.76,0.88,0.58
0.89,2.77,0.89,0.58
0.9,2.78,0.9,0.58
0.91,2.79,0.91,0.58
0.92,2.8,0.92,0.58
0.93,2.81,0.93,0.58
0.94,2.82,0.94,0.57
0.95,2.83,0.95,0.57
0.96,2.84,0.96,0.57
0.97,2.84,0.97,0.56
0.98,2.85,0.98,0.56
0.99,2.86,0.99,0.56
1,2.87,1,0.55
1.01,2.88,1.01,0.55
1.02,2.89,1.02,0.54
1.03,2.9,1.03,0.53
1.04,2.9,1.04,0.53
1.05,2.91,1.05,0.52
1.06,2.92,1.06,0.51
1.07,2.92,1.07,0.51
1.08,2.93,1.08,0.5
1.09,2.94,1.09,0.49
1.1,2.94,1.1,0.48
1.11,2.95,1.11,0.48
1.12,2.95,1.12,0.47
1.13,2.96,1.13,0.46
1.14,2.96,1.14,0.45
1.15,2.97,1.15,0.45
1.16,2.97,1.16,0.44
1.17,2.97,1.17,0.43
1.18,2.98,1.18,0.42
1.19,2.98,1.19,0.41
1.2,2.98,1.2,0.41
1.21,2.99,1.21,0.4
1.22,2.99,1.22,0.39
1.23,2.99,1.23,0.38
1.24,2.99,1.24,0.38
1.25,2.99,1.25,0.37
1.26,3,1.26,0.36
1.27,3,1.27,0.35
1.28,3,1.28,0.35
1.29,3,1.29,0.34
1.3,3,1.3,0.33
1.31,3,1.31,0.33
1.32,3,1.32,0.32
1.33,3,1.33,0.31
1.34,3,1.34,0.31
1.43,3,1.43,0.25
1.44,3,1.44,0.25
1.45,3,1.45,0.24
1.46,3,1.46,0.24
1.47,2.99,1.47,0.23
1.48,2.99,1.48,0.23
1.49,2.99,1.49,0.22
1.5,2.99,1.5,0.22
1.51,2.99,1.51,0.21
1.52,2.99,1.52,0.21
1.53,2.99,1.53,0.2
1.54,2.99,1.54,0.2
1.55,2.98,1.55,0.2
1.56,2.98,1.56,0.19
1.57,2.98,1.57,0.19
1.58,2.98,1.58,0.18
1.59,2.98,1.59,0.18
1.6,2.98,1.6,0.18
1.61,2.98,1.61,0.17
1.62,2.97,1.62,0.17
1.63,2.97,1.63,0.17
1.64,2.97,1.64,0.16
1.65,2.97,1.65,0.16
