wl,n,wl,k
0.3,1.88,0.3,1.12
0.31,1.87,0.31,1.13
0.32,1.87,0.32,1.16
0.33,1.88,0.33,1.19
0.34,1.9,0.34,1.24
0.35,1.95,0.35,1.28
0.36,2.01,0.36,1.31
0.37,2.07,0.37,1.33
0.38,2.14,0.38,1.33
0.39,2.22,0.39,1.32
0.4,2.28,0.4,1.3
0.41,2.34,0.41,1.27
0.42,2.4,0.42,1.22
0.43,2.44,0.43,1.17
0.44,2.47,0.44,1.12
0.45,2.5,0.45,1.07
0.46,2.51,0.46,1.01
0.47,2.52,0.47,0.96
0.48,2.52,0.48,0.91
0.49,2.51,0.49,0.86
0.5,2.5,0.5,0.82
0.51,2.48,0.51,0.78
0.52,2.46,0.52,0.74
0.53,2.44,0.53,0.71
0.54,2.41,0.54,0.68
0.55,2.38,0.55,0.66
0.56,2.35,0.56,0.64
0.57,2.32,0.57,0.62
0.58,2.29,0.58,0.61
0.59,2.25,0.59,0.6
0.6,2.22,0.6,0.59
0.61,2.19,0.61,0.59
0.62,2.15,0.62,0.58
0.63,2.12,0.63,0.58
0.64,2.08,0.64,0.59
0.65,2.05,0.65,0.59
0.66,2.02,0.66,0.6
0.67,1.98,0.67,0.61
0.68,1.95,0.68,0.62
0.69,1.92,0.69,0.63
0.7,1.88,0.7,0.65
0.71,1.85,0.71,0.67
0.72,1.82,0.72,0.69
0.73,1.79,0.73,0.72
0.74,1.76,0.74,0.75
0.75,1.74,0.75,0.78
0.76,1.71,0.76,0.81
0.77,1.69,0.77,0.85
0.78,1.68,0.78,0.88
0.79,1.67,0.79,0.92
0.8,1.66,0.8,0.95
0.81,1.66,0.81,0.98
0.82,1.65,0.82,1.01
0.83,1.65,0.83,1.03
0.84,1.65,0.84,1.06
0.85,1.65,0.85,1.08
0.86,1.64,0.86,1.1
0.87,1.64,0.87,1.12
0.88,1.63,0.88,1.13
0.89,1.62,0.89,1.15
0.9,1.61,0.9,1.17
0.91,1.59,0.91,1.19
0.92,1.58,0.92,1.21
0.93,1.57,0.93,1.24
0.94,1.56,0.94,1.26
0.95,1.54,0.95,1.29
0.96,1.53,0.96,1.32
0.97,1.52,0.97,1.35
0.98,1.51,0.98,1.38
0.99,1.5,0.99,1.41
1,1.5,1,1.44
1.01,1.49,1.01,1.47
1.02,1.48,1.02,1.5
